Mongbalu,2026-05-14,ND
Mongbalu,2026-05-15,ND
Rwampara,2026-05-15,ND
Bunia,2026-05-15,ND
Mongbalu,2026-05-18,ND
Rwampara,2026-05-18,ND
Bunia,2026-05-18,ND
Nyakunde,2026-05-18,ND
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Butembo,2026-05-18,ND
Mongbalu,2026-05-19,0
Rwampara,2026-05-19,0
Bunia,2026-05-19,0
Nyakunde,2026-05-19,0
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Butembo,2026-05-19,ND
Mongbalu,2026-05-20,0
Rwampara,2026-05-20,0
Bunia,2026-05-20,0
Nyakunde,2026-05-20,0
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Butembo,2026-05-20,ND
Bambu,2026-05-20,ND
Mongbalu,2026-05-21,0
Rwampara,2026-05-21,1
Bunia,2026-05-21,1
Nyakunde,2026-05-21,0
Goma,2026-05-21,0
Katwa,2026-05-21,0
Butembo,2026-05-21,0
Bambu,2026-05-21,0
Nizi,2026-05-21,0
Kilo,2026-05-21,0
Miti-Murhesa,2026-05-21,0
Mongbalu,2026-05-22,0
Rwampara,2026-05-22,2
Bunia,2026-05-22,2
Nyakunde,2026-05-22,0
Goma,2026-05-22,0
Katwa,2026-05-22,0
Butembo,2026-05-22,0
Bambu,2026-05-22,0
Nizi,2026-05-22,0
Kilo,2026-05-22,0
Miti-Murhesa,2026-05-22,0
Komanda,2026-05-22,1
Mongbalu,2026-05-23,0
Rwampara,2026-05-23,2
Bunia,2026-05-23,2
Nyakunde,2026-05-23,0
Goma,2026-05-23,0
Katwa,2026-05-23,0
Butembo,2026-05-23,0
Bambu,2026-05-23,0
Nizi,2026-05-23,0
Kilo,2026-05-23,0
Miti-Murhesa,2026-05-23,0
Komanda,2026-05-23,1
Mongbalu,2026-05-24,0
Rwampara,2026-05-24,2
Bunia,2026-05-24,2
Nyakunde,2026-05-24,0
Goma,2026-05-24,0
Katwa,2026-05-24,0
Butembo,2026-05-24,0
Bambu,2026-05-24,0
Nizi,2026-05-24,0
Kilo,2026-05-24,0
Miti-Murhesa,2026-05-24,0
Komanda,2026-05-24,1
Mongbalu,2026-05-25,0
Rwampara,2026-05-25,2
Bunia,2026-05-25,2
Nyakunde,2026-05-25,0
Goma,2026-05-25,0
Kilo,2026-05-25,0
Miti-Murhesa,2026-05-25,0
Komanda,2026-05-25,1
Mongbalu,2026-05-26,0
Rwampara,2026-05-26,2
Bunia,2026-05-26,2
Nyakunde,2026-05-26,0
Goma,2026-05-26,0
Katwa,2026-05-26,0
Butembo,2026-05-26,0
Bambu,2026-05-26,0
Nizi,2026-05-26,0
Kilo,2026-05-26,0
Miti-Murhesa,2026-05-26,0
Komanda,2026-05-26,1
Mongbalu,2026-05-27,0
Rwampara,2026-05-27,2
Bunia,2026-05-27,2
Nyakunde,2026-05-27,0
Goma,2026-05-27,0
Katwa,2026-05-27,0
Butembo,2026-05-27,0
Bambu,2026-05-27,0
Nizi,2026-05-27,0
Kilo,2026-05-27,0
Miti-Murhesa,2026-05-27,0
Komanda,2026-05-27,1
Aru,2026-05-28,1
Bambu,2026-05-28,2
Bunia,2026-05-28,8
Kilo,2026-05-28,0
Mongbwalu,2026-05-28,10
Nizi,2026-05-28,0
Nyankunde,2026-05-28,1
Rwampara,2026-05-28,13
Mangala,2026-05-28,0
Damas,2026-05-28,0
Aungba,2026-05-28,0
Gethy,2026-05-28,0
Komanda,2026-05-28,1
Jiba,2026-05-28,0
Lita,2026-05-28,0
Butembo,2026-05-28,2
Goma,2026-05-28,0
Katwa,2026-05-28,3
Karisimbi,2026-05-28,0
Kyondo,2026-05-28,0
Oicha,2026-05-28,0
Kalunguta,2026-05-28,1
Beni,2026-05-28,0
Miti-Murhesa,2026-05-28,1
Aru,2026-05-29,1
Bambu,2026-05-29,2
Bunia,2026-05-29,8
Kilo,2026-05-29,0
Mongbwalu,2026-05-29,10
Nizi,2026-05-29,0
Nyankunde,2026-05-29,1
Rwampara,2026-05-29,13
Mangala,2026-05-29,0
Damas,2026-05-29,0
Aungba,2026-05-29,0
Gethy,2026-05-29,0
Komanda,2026-05-29,0
Jiba,2026-05-29,0
Lita,2026-05-29,0
Butembo,2026-05-29,2
Goma,2026-05-29,0
Katwa,2026-05-29,3
Karisimbi,2026-05-29,0
Kyondo,2026-05-29,0
Oicha,2026-05-29,0
Kalunguta,2026-05-29,1
Beni,2026-05-29,0
Miti-Murhesa,2026-05-29,1
Aru,2026-05-30,1
Bambu,2026-05-30,2
Bunia,2026-05-30,8
Kilo,2026-05-30,0
Mongbwalu,2026-05-30,10
Nizi,2026-05-30,0
Nyankunde,2026-05-30,1
Rwampara,2026-05-30,13
Mangala,2026-05-30,0
Damas,2026-05-30,0
Aungba,2026-05-30,0
Gethy,2026-05-30,0
Komanda,2026-05-30,0
Jiba,2026-05-30,0
Lita,2026-05-30,0
Butembo,2026-05-30,2
Goma,2026-05-30,0
Katwa,2026-05-30,3
Karisimbi,2026-05-30,0
Kyondo,2026-05-30,0
Oicha,2026-05-30,0
Kalunguta,2026-05-30,1
Beni,2026-05-30,0
Miti-Murhesa,2026-05-30,1
Aru,2026-06-01,1
Bambu,2026-06-01,2
Bunia,2026-06-01,8
Kilo,2026-06-01,0
Mongbwalu,2026-06-01,10
Nizi,2026-06-01,0
Nyankunde,2026-06-01,1
Rwampara,2026-06-01,13
Mangala,2026-06-01,0
Damas,2026-06-01,0
Aungba,2026-06-01,0
Gethy,2026-06-01,0
Komanda,2026-06-01,0
Jiba,2026-06-01,ND
Lita,2026-06-01,0
Logo,2026-06-01,0
Mambasa,2026-06-01,1
NA,2026-06-01,10
Butembo,2026-06-01,2
Goma,2026-06-01,0
Katwa,2026-06-01,5
Karisimbi,2026-06-01,ND
Kyondo,2026-06-01,0
Oicha,2026-06-01,2
Kalunguta,2026-06-01,1
Beni,2026-06-01,3
Miti-Murhesa,2026-06-01,1
Bunia,2026-06-02,8
Rwampara,2026-06-02,15
Mongbalu,2026-06-02,10
Nyankunde,2026-06-02,1
Rimba,2026-06-02,0
Miti-Murhesa,2026-06-02,1
Bambu,2026-06-02,2
Aru,2026-06-02,1
Kilo,2026-06-02,0
Nizi,2026-06-02,0
Damas,2026-06-02,0
Mambasa,2026-06-02,1
Katwa,2026-06-02,5
Beni,2026-06-02,3
Butembo,2026-06-02,2
Oicha,2026-06-02,2
Kalunguta,2026-06-02,1
Kyondo,2026-06-02,0
Goma,2026-06-02,0
Mangala,2026-06-02,0
Aungba,2026-06-02,0
Gety,2026-06-02,0
Komanda,2026-06-02,0
Lita,2026-06-02,0
Logo,2026-06-02,0
NA,2026-06-02,10
Aru,2026-06-03,1
Bambu,2026-06-03,2
Bunia,2026-06-03,9
Kilo,2026-06-03,0
Mongbwalu,2026-06-03,10
Nizi,2026-06-03,0
Nyankunde,2026-06-03,1
Rwampara,2026-06-03,16
Mangala,2026-06-03,0
Damas,2026-06-03,0
Aungba,2026-06-03,0
Gethy,2026-06-03,0
Komanda,2026-06-03,0
Jiba,2026-06-03,NA
Lita,2026-06-03,0
Butembo,2026-06-03,2
Goma,2026-06-03,0
Katwa,2026-06-03,5
